date,1st cutting change,2nd cutting change,1st cutting total,2nd cutting total,notes,horse_count
11-Apr-17,,,97,148,,
24-Apr-17,-6,-4,91,144,,
30-Apr-17,-15,,76,144,,
6-May-17,,-6,76,138,,
10-May-17,-16,-12,60,126,,
21-May-17,-18,-12,42,114,,
8-Jun-17,-10,-10,32,104,,
29-Jun-17,,,475,84,,
11-Aug-17,-25,-6,450,78,,
20-Aug-17,,95,450,173,,
21-Aug-17,-12,-7,438,166,,
26-Aug-17,-20,105,418,271,,
14-Sep-17,-19,,399,271,,
27-Sep-17,-16,-6,383,265,,
7-Oct-17,-19,,364,265,,
16-Oct-17,-10,-2,354,263,,
22-Oct-17,-14,-4,340,259,,
30-Oct-17,-8,,332,259,,
5-Nov-17,-10,,322,259,,
9-Nov-17,-4,-5,318,254,,
12-Nov-17,-15,-10,303,244,,
19-Nov-17,-28,,275,244,,
3-Dec-17,-24,,251,244,,
17-Dec-17,-24,-12,227,232,,
30-Dec-17,-24,-18,203,214,,
14-Jan-18,-24,-18,179,196,,
27-Jan-18,-12,,167,196,,
3-Feb-18,-18,-12,149,184,,
17-Feb-18,-22,-12,127,172,,
4-Mar-18,-22,-12,105,160,,
18-Mar-18,-22,-14,83,146,,
1-Apr-18,-18,-14,65,132,,
15-Apr-18,-20,-14,45,118,,
29-Apr-18,-8,-16,37,102,,
13-May-18,-8,-16,29,86,,
24-May-18,0,-12,29,74,,
3-Jun-18,-8,-21,21,53,,
4-Jun-18,,,0,79,,
10-Jun-18,190,,190,79,,
10-Jun-18,130,,320,79,,
10-Jun-18,-7,,313,79,,
11-Jun-18,178,,491,79,,
12-Jun-18,-9,,482,79,,
16-Jun-18,22,,504,79,,
27-Jun-18,-10,-8,494,71,,
7-Jul-18,-20,-17,474,54,,
29-Jul-18,-20,-16,454,38,,
17-Aug-18,-14,-12,440,26,,
25-Aug-18,,250,440,276,,
7-Sep-18,-18,-16,422,260,,
27-Sep-18,-2,,420,260,,
29-Sep-18,-16,-6,404,254,,
11-Oct-18,-2,,402,254,,
17-Oct-18,-8,-6,394,248,,
23-Oct-18,-4,,390,248,,
26-Oct-18,-12,-6,378,242,,
4-Nov-18,-22,-16,356,226,,
18-Nov-18,-20,-10,336,216,,
2-Dec-18,-10,,326,216,,
9-Dec-18,-16,-10,310,206,,
22-Dec-18,-22,-12,288,194,,
6-Jan-19,-22,-12,266,182,,
21-Jan-19,-8,,258,182,,
26-Jan-19,-26,-14,232,168,,
10-Feb-19,-4,,228,168,,
16-Feb-19,-26,-14,202,154,,
2-Mar-19,-20,-10,182,144,,
17-Mar-19,-20,-12,162,132,,
30-Mar-19,-10,-6,152,126,,
7-Apr-19,-24,-10,128,116,,
19-Apr-19,-2,-2,126,114,,
21-Apr-19,-20,-10,106,104,,
8-May-19,-2,-2,104,102,,
11-May-19,-20,-10,84,92,,
27-May-19,-20,-10,64,82,,
6-Jun-19,-2,-2,62,80,,
13-Jun-19,-22,-10,19,70,,
24-Jun-19,496,,515,70,,
3-Jul-19,-18,-10,497,60,,
14-Jul-19,,-6,497,54,,
22-Jul-19,-22,-10,475,44,,
11-Aug-19,-22,-12,453,32,,
27-Aug-19,-21,-10,432,22,,
31-Aug-19,,250,432,272,,
20-Sep-19,-2,,430,272,,
21-Sep-19,-24,-12,406,260,,
9-Oct-19,-25,-11,381,249,,
29-Oct-19,-26,-12,355,237,,
17-Nov-19,-26,-12,329,225,,
1-Dec-19,-22,-12,307,213,,
19-Dec-19,-24,-12,283,201,,
4-Jan-20,-26,-14,257,187,,
20-Jan-20,-10,-8,247,179,,
26-Jan-20,-26,-12,221,167,,
12-Feb-20,-6,0,215,167,,
16-Feb-20,-30,-12,185,155,,
7-Mar-20,-30,-12,155,143,,
28-Mar-20,-32,-14,123,129,,
19-Apr-20,-32,-16,91,113,,
10-May-20,-30,-15,61,98,,
1-Jun-20,-28,-16,33,82,,
11-Jun-20,520,,553,82,,
28-Jun-20,-30,-16,523,66,,
25-Jul-20,-20,-10,503,56,,
9-Aug-20,-20,-12,483,44,,
19-Aug-20,-11,-5,472,39,,
21-Aug-20,,180,472,219,,
30-Aug-20,-20,-10,452,209,,
31-Aug-20,,80,452,289,,
31-Aug-20,,-2,452,287,,
12-Sep-20,-22,-12,430,275,,
26-Sep-20,-30,-14,400,261,,
16-Oct-20,-1,,399,261,,
17-Oct-20,-30,-14,369,247,,
5-Nov-20,-2,,367,247,,
7-Nov-20,-32,-16,335,231,,
27-Nov-20,-30,-14,305,217,,
13-Dec-20,-30,-14,275,203,,
31-Dec-20,-34,-16,241,187,,
21-Jan-21,-30,-14,211,173,,
9-Feb-21,-30,-14,181,159,,
26-Feb-21,-30,-14,151,145,,
14-Mar-21,-34,-17,117,128,,
4-Apr-21,-32,-14,85,114,,
23-Apr-21,-36,-14,49,100,,
15-May-21,-31,,18,100,,
30-May-21,-10,,8,100,,
1-Jun-21,,-10,8,90,,
13-Jun-21,540,,548,90,,
13-Jun-21,-53,,495,90,,
16-Jun-21,,-10,495,80,,
29-Jun-21,,-2,495,78,,
1-Jul-21,,-6,495,72,,
11-Jul-21,,-10,495,62,,
23-Jul-21,-16,,479,62,,
27-Jul-21,,-6,479,56,,
5-Aug-21,-31,-16,448,40,,
27-Aug-21,,-5,448,35,,
27-Aug-21,,205,448,240,,
27-Aug-21,,-4,448,236,,
28-Aug-21,-1,,447,236,,
29-Aug-21,-1,55,446,291,,
29-Aug-21,-10,,436,291,,
19-Sep-21,-2,,434,291,,
20-Sep-21,-30,-14,404,277,,
17-Oct-21,-30,-14,374,263,,
15-Nov-21,-25,-12,349,251,,
1-Dec-21,-6,-6,343,245,,
12-Dec-21,-30,-10,313,235,,
6-Jan-22,-20,-14,293,221,,
22-Jan-22,-20,-10,273,211,,
5-Feb-22,-25,-14,248,197,,
24-Feb-22,-25,-10,223,187,,
23-Mar-22,-25,-8,198,179,,
1-May-22,-20,-15,178,164,,
22-May-22,-4,,174,164,,
24-May-22,-20,-10,154,154,,
1-Jun-22,340,,494,154,,4
22-Jun-22,,-10,494,144,,4
11-Jul-22,-24,-11,470,133,,4
30-Jul-22,-21,-7,449,126,,4
4-Aug-22,,145,449,271,,4
6-Sep-22,-1,-1,448,270,,4
9/7/22,-20,-10,428,260,,4
9/24/22,-24,-6,404,254,,4
10/10/22,-20,-8,384,246,,4
10/28/22,-3,-3,381,243,,4
10/29/22,-20,-3,361,240,,4
11/14/22,-20,-11,341,229,,4
11/28/22,-20,,321,229,,4
12/5/22,-6,-12,315,217,,4
12/18/22,-18,-8,297,209,,4
12/28/22,-10,,287,209,,4
1/7/23,-26,-10,261,199,,4
1/25/23,-5,-5,256,194,,4
1/29/23,-24,-10,232,184,,4
2/13/23,-20,-6,212,178,,4
2/27/23,-6,-6,206,172,,4
3/5/23,-16,-6,190,166,,4
3/12/23,-8,-1,182,165,,4
3/26/23,-20,-12,162,153,,4
11-Apr-23,-20,-8,142,145,,4
8-May-23,-24,-8,118,137,,4
18-May-23,-74,,44,137,"no real, correction",4
19-May-23,-35,,9,137,,4
19-May-23,172,,181,137,,4
20-May-23,-4,,177,137,,4
29-May-23,300,,477,137,,4
30-May-23,-6,,471,137,,4
9-Jun-23,-6,-10,465,127,,4
21-Jun-23,-8,,457,127,,4
4-Jul-23,-12,-10,445,117,,4
18-Jul-23,-16,,429,117,,4
27-Jul-23,-20,-10,409,107,,4
11-Aug-23,-20,-12,389,95,,4
19-Aug-23,-6,,383,95,,4
28-Aug-23,,-57,383,38,"fake input, correction",4
29-Aug-23,,180,383,218,,4
30-Aug-23,,-3,383,215,,4
31-Aug-23,,50,383,265,,4
11-Sep-23,-2,,381,265,,4
12-Sep-23,-24,-6,357,259,,4
21-Sep-23,,-8,357,251,,4
29-Sep-23,-1,,356,251,,4
30-Sep-23,-2,,354,251,,4
1-Oct-23,-21,,333,251,,4
13-Oct-23,,-2,333,249,,4
16-Oct-23,-24,-10,309,239,,4
2-Nov-23,-26,-12,283,227,,4
17-Nov-23,-24,-10,259,217,,4
2-Dec-23,-20,,239,217,,4
15-Dec-23,-27,-13,212,204,,4
1-Jan-24,-24,-6,188,198,,4
14-Jan-24,-20,,168,198,,4
25-Jan-24,-25,,143,198,,4
12-Feb-24,-25,-8,118,190,,4
26-Feb-24,,-4,118,186,,4
3-Mar-24,-24,-8,94,178,,4
21-Mar-24,-4,,90,178,,4
24-Mar-24,-20,-4,70,174,,4
5-Apr-24,-3,-3,67,171,,4
11-Apr-24,-2,,65,171,,4
13-Apr-24,-20,-12,45,159,,4
14-Apr-24,-27,,18,159,"fake input, correction",4
27-Apr-24,,-34,18,125,,4
28-Apr-24,-9,-6,9,119,,4
28-Apr-24,20,,29,119,,4
11-May-24,,-4,29,115,,4
18-May-24,-9,-8,20,107,,4
2-Jun-24,97,,117,107,,4
2-Jun-24,-5,,112,107,,4
8-Jun-24,,-4,112,103,,4
10-Jun-24,-20,-4,92,99,,4
14-Jun-24,145,,237,99,,4
15-Jun-24,300,,537,99,,4
15-Jun-24,-6,,531,99,,4
